,MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE
0,10063,"Ni, Cu",Ni,OCCURRENCE,Not worked,Locally Significant,PXNT,128.9458688,-26.1793622
1,58,Ni,Ni,OCCURRENCE,Not worked,Low Significance,NORT,132.6277374,-26.1800382
2,9779,"QZ, CYP",QZ,OCCURRENCE,Abandoned,Low Significance,REGO,129.1877568,-26.1843972
3,10523,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.2019698,-26.1854612
4,57,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MAGR,132.5498074,-26.1855002
5,5220,Ni,Ni,OCCURRENCE,Not worked,Low Significance,LATR,129.2610478,-26.1886082
6,62,Ni,Ni,OCCURRENCE,Not worked,Low Significance,SERP,132.7981614,-26.1917732
7,11297,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,130.3368367,-26.1919122
8,9836,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.3521098,-26.1923962
9,40,CYP,CYP,OCCURRENCE,Not worked,Low Significance,LATR,132.6082534,-26.9806292
10,5222,CYP,CYP,OCCURRENCE,Not worked,Low Significance,VEIN,129.2573238,-26.1993432
11,5218,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.2555438,-26.1998232
12,71,"CYP, Cr",CYP,OCCURRENCE,Not worked,Low Significance,CHAL,129.2518508,-26.2007252
13,59,Ni,Ni,OCCURRENCE,Not worked,Low Significance,NORT,132.7506464,-26.2124282
14,66,Cu,Cu,OCCURRENCE,Not worked,Low Significance,NORT,131.9688105,-26.2243002
15,61,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8924564,-26.2275742
16,9914,"Ni, Cu, PTM",Ni,OCCURRENCE,Not worked,Low Significance,GBRO,129.9000447,-26.2295582
17,11646,Ag,Ag,OCCURRENCE,Not worked,Low Significance,MTHH,133.8155293,-26.2559353
18,8875,PTM,PTM,OCCURRENCE,Not worked,Low Significance,GBNR,130.1191987,-26.2585352
19,8821,Cu,Cu,OCCURRENCE,Not worked,Low Significance,PXNT,129.0255458,-26.2597342
20,9172,"Ni, Co",Ni,OCCURRENCE,Not worked,Low Significance,UINT,129.2037578,-26.0045032
21,75,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,LATR,129.1847778,-26.0081412
22,6789,"Ni, Co, Fe, OCR",Ni,DEPOSIT,Not worked,Locally Significant,IRSU,129.1756098,-26.0109782
23,11164,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,CALC,133.1903183,-26.0156562
24,34,"REE, HMIN",REE,OCCURRENCE,Not worked,Low Significance,SAND,133.0087734,-26.0195522
25,10060,"Ni, CYP, Co, FEORE, Fe, REE",Ni,DEPOSIT,Not worked,Significant to Australia,IRSU,128.9380348,-26.0423782
26,3291,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,REGO,135.2038391,-26.0515493
27,53,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8161854,-26.0564822
28,11122,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,139.3970356,-26.0767014
29,11318,REE,REE,OCCURRENCE,Not worked,Low Significance,FPEG,132.4646084,-26.0792862
30,11311,Ni,Ni,OCCURRENCE,Not worked,Low Significance,LATR,129.0100088,-26.0850372
31,5219,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.2005488,-26.1063352
32,52,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.7753584,-26.1071242
33,8314,Fe,Fe,OCCURRENCE,Not worked,Low Significance,MGTU,129.1017308,-26.1167612
34,69,"V, ILM",V,OCCURRENCE,Not worked,Low Significance,MGTU,129.1160418,-26.1245162
35,65,Ni,Ni,OCCURRENCE,Not worked,Low Significance,SERP,132.7705154,-26.1252812
36,7367,ALN,ALN,OCCURRENCE,Not worked,Low Significance,PEGM,131.1842626,-26.1253852
37,7366,ALN,ALN,OCCURRENCE,Not worked,Low Significance,PEGM,131.1262676,-26.1288992
38,8866,"Cu, Fe, V",Cu,OCCURRENCE,Not worked,Low Significance,WEHR,129.1066488,-26.1359002
39,76,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,LATR,129.1783648,-26.1380122
40,64,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.7649454,-26.1447802
41,56,"Cu, CYP",Cu,OCCURRENCE,Not worked,Low Significance,MSED,132.7815714,-26.1511442
42,77,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,CHAL,129.1712958,-26.1512792
43,78,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,IRSU,129.1675948,-26.1521862
44,5221,CYP,CYP,OCCURRENCE,Not worked,Low Significance,VEIN,129.2097088,-26.1588522
45,54,"Cu, CYP",Cu,OCCURRENCE,Not worked,Low Significance,PAGN,132.8166764,-26.1592022
46,10524,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.3430128,-26.1617172
47,10522,Ni,Ni,OCCURRENCE,Not worked,Low Significance,IRSU,129.2183518,-26.1625352
48,63,Ni,Ni,OCCURRENCE,Not worked,Low Significance,SERP,132.7588624,-26.1700472
49,72,CYP,CYP,OCCURRENCE,Not worked,Low Significance,LATR,129.2424998,-26.1706932
50,74,"CYP, AGA",CYP,OCCURRENCE,Abandoned,Low Significance,LATR,129.2445418,-26.1741992
51,73,"CYP, AGA, Ni",CYP,OCCURRENCE,Abandoned,Low Significance,LATR,129.2344798,-26.1773762
52,11310,CALI,CALI,DEPOSIT,Active Mine,Low Significance,CALC,129.1189098,-26.1774752
53,3490,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,133.3144083,-26.9806483
54,9170,Cr,Cr,OCCURRENCE,Not worked,Low Significance,IMAF,132.5374584,-26.9847332
55,41,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.5672964,-26.9883202
56,11160,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,139.3564476,-26.9904364
57,181,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.3743953,-26.9918243
58,183,OPAL,OPAL,OCCURRENCE,Seasonal,Locally Significant,OPAL,134.0976052,-26.9927153
59,201,"QTZE, SDST",QTZE,PROSPECT,Abandoned,Locally Significant,QTZT,133.4023473,-26.9960253
60,11123,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.8546077,-27.0907564
61,184,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.8654962,-27.1054163
62,11648,Pb,Pb,OCCURRENCE,Not worked,Low Significance,REGO,133.6794793,-27.1137923
63,39,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.4782423,-27.1141223
64,11124,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.8210517,-27.1147234
65,11296,"REE, MIC",REE,OCCURRENCE,Not worked,Low Significance,PEGM,129.8780917,-26.3006112
66,8919,"V, Fe, Ti",V,OCCURRENCE,Not worked,Low Significance,MGTU,130.1095627,-26.3023082
67,60,Cu,Cu,OCCURRENCE,Not worked,Low Significance,MAGR,132.7310604,-26.3089602
68,9171,Cr,Cr,OCCURRENCE,Not worked,Low Significance,PICR,130.7575216,-26.3169102
69,49,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8605494,-26.3194352
70,3292,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,REGO,134.9359831,-26.3208513
71,11306,U,U,OCCURRENCE,Not worked,Low Significance,SAND,134.0730492,-26.3324323
72,9913,"Ni, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GOSS,129.1122438,-26.3368942
73,11284,Cu,Cu,OCCURRENCE,Not worked,Low Significance,IBRC,129.9720677,-26.3410172
74,11295,Cu,Cu,OCCURRENCE,Not worked,Low Significance,SULU,130.6769586,-26.3424742
75,51,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8482424,-26.3783682
76,48,"Ni, COR",Ni,OCCURRENCE,Not worked,Low Significance,LATR,132.5465574,-26.3875922
77,9935,DOLR,DOLR,OCCURRENCE,Not worked,Low Significance,DOLR,133.1875683,-26.3900193
78,11647,Ag,Ag,OCCURRENCE,Not worked,Low Significance,MTHH,133.7156263,-26.4125243
79,68,"Cu, Ni",Cu,OCCURRENCE,Not worked,Low Significance,ANRT,130.7343046,-26.4257412
80,11165,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,CALC,133.2496453,-26.4417433
81,11163,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,139.5426146,-26.4513275
82,47,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.7120664,-26.4648812
83,8829,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,134.0720082,-26.5629863
84,3488,Cu,Cu,OCCURRENCE,Not worked,Low Significance,IRSU,133.2525933,-26.5640503
85,202,DOLR,DOLR,DEPOSIT,Not worked,Locally Significant,DOLR,133.4178273,-26.5679133
86,11162,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,139.6283396,-26.6778665
87,37,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,133.0903173,-26.7672183
88,38,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,133.4991603,-26.9292993
89,3487,MIC,MIC,OCCURRENCE,Not worked,Low Significance,VEIN,133.4971023,-26.9326173
90,3489,BRL,BRL,OCCURRENCE,Not worked,Low Significance,PEGM,133.3938253,-26.9361723
91,35,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.2297223,-26.9393543
92,180,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.5345803,-26.9462623
93,177,MHEM,MHEM,OCCURRENCE,Not worked,Low Significance,TCTO,133.6549053,-26.9497183
94,11168,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,SILC,133.3637963,-26.9520413
95,178,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.5065873,-26.9541563
96,3293,MHEM,MHEM,PROSPECT,Care/ Maintenance,Low Significance,MTHH,133.6981773,-26.9719883
97,176,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QHMM,133.7000223,-26.9779633
98,94,CELES,CELES,OCCURRENCE,Not worked,Low Significance,REGO,135.963614,-27.4985213
99,8472,Cu,Cu,OCCURRENCE,Not worked,Low Significance,PEGM,133.2049523,-26.7733213
100,42,"Ni, Co, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GOSS,132.7613144,-26.7784662
101,36,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,133.1352933,-26.7900223
102,3290,U,U,OCCURRENCE,Not worked,Low Significance,SAND,133.5992643,-26.7987123
103,11166,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,GRVL,133.3351283,-26.8389863
104,11161,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,GRVL,139.5826676,-26.8515465
105,45,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9391643,-26.8577462
106,44,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9841283,-26.8699922
107,8952,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.4382373,-26.8733943
108,43,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,133.0141593,-26.8734413
109,9169,Cr,Cr,OCCURRENCE,Not worked,Low Significance,SERP,133.4012833,-26.8750573
110,46,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9556933,-26.8786992
111,11649,"Zn, GRPH",Zn,OCCURRENCE,Not worked,Low Significance,SHLE,134.1912412,-26.8808113
112,9036,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,132.9374323,-26.8866462
113,10011,COR,COR,OCCURRENCE,Not worked,Low Significance,MINL,133.1751663,-26.8875713
114,10012,"CYP, COR",CYP,OCCURRENCE,Not worked,Low Significance,MINL,133.1994203,-26.8878833
115,8415,GBRO,GBRO,OCCURRENCE,Seasonal,Low Significance,GBRO,133.4030733,-26.8944843
116,8469,"Ni, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GBRO,129.7149507,-26.8949322
117,11167,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,CALC,133.3745423,-26.8981023
118,11282,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,132.8951894,-26.9013122
119,11298,CALI,CALI,OCCURRENCE,Abandoned,Low Significance,CALC,132.8951894,-26.9013122
120,11319,BRL,BRL,OCCURRENCE,Not worked,Low Significance,PEGM,133.4434083,-26.9158863
121,186,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9503262,-27.1816363
122,185,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.6782413,-27.1932193
123,11126,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.7569527,-27.2557404
124,188,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1998342,-27.2847543
125,10433,DOL,DOL,OCCURRENCE,Seasonal,Low Significance,SILC,133.5896683,-27.2857093
126,9342,"Cu, Pb, Zn",Cu,OCCURRENCE,Not worked,Low Significance,MTHH,133.7524202,-27.2866243
127,170,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2467933,-27.2983493
128,189,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9161812,-27.2989123
129,171,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2538213,-27.3011443
130,11127,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7723577,-27.3028454
131,172,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2488123,-27.3048723
132,95,CELES,CELES,OCCURRENCE,Abandoned,Low Significance,REGO,135.1435261,-27.3092683
133,173,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2617623,-27.3102693
134,174,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.2788663,-27.3149943
135,175,OPAL,OPAL,PROSPECT,Seasonal,Locally Significant,OPAL,133.2952853,-27.3183543
136,190,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9163002,-27.3594863
137,10616,OCR,OCR,OCCURRENCE,Not worked,Low Significance,DURF,135.411359,-27.3918853
138,11125,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7148977,-27.4006664
139,182,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.3391533,-27.4529173
140,67,Ni,Ni,OCCURRENCE,Not worked,Low Significance,UMAF,130.7081166,-27.4598372
141,5961,OCR,OCR,OCCURRENCE,Abandoned,Low Significance,IRSU,135.364727,-27.4977403
142,50,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8794704,-26.2758522
143,8226,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,SAND,140.0943825,-27.6887155
144,8225,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1159595,-27.6916535
145,10872,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.605131,-27.7216343
146,7365,CLAY,CLAY,OCCURRENCE,Abandoned,Low Significance,CLYS,134.6550461,-27.7359323
147,11177,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,SLST,140.8943754,-27.7367595
148,11178,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,SLST,140.7755304,-27.7442415
149,11140,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7534574,-27.7538065
150,10502,SHA,SHA,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1469815,-27.7581065
151,11141,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7735914,-27.7681945
152,5957,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.687863,-27.7951353
153,9790,GTH,GTH,PROSPECT,Not worked,Locally Significant,,140.7544284,-27.8158275
154,9782,GAS,GAS,PROSPECT,Not worked,Locally Significant,SHLE,140.6452084,-27.8218855
155,10316,SiO2,SiO2,PROSPECT,Not worked,Low Significance,DURS,135.761772,-27.8256203
156,5963,COAL,COAL,DEPOSIT,Not worked,Locally Significant,COAL,135.1422731,-27.8283703
157,11142,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7422634,-27.8446945
158,11169,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,LAGU,134.0409182,-27.8623363
159,11179,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,SLST,140.7208274,-27.8683785
160,11677,Au,Au,OCCURRENCE,Abandoned,Low Significance,CGLM,135.774248,-27.8765363
161,9738,Au,Au,OCCURRENCE,Abandoned,Low Significance,CGLM,135.805855,-27.8963673
162,5956,"Cu, U",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.794597,-27.9020923
163,5953,Au,Au,OCCURRENCE,Care/ Maintenance,Low Significance,CGLM,135.789861,-27.9045843
164,5954,GRPH,GRPH,OCCURRENCE,Abandoned,Low Significance,SCHT,135.783126,-27.9056663
165,5358,COAL,COAL,DEPOSIT,Not worked,Significant to SA,COAL,134.7471151,-27.9350973
166,11143,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7352954,-27.9483235
167,198,LMST,LMST,DEPOSIT,Not worked,Locally Significant,LMST,134.1629862,-27.9733163
168,5958,"Cu, Au",Cu,OCCURRENCE,Not worked,Low Significance,FBRC,135.877113,-27.9893353
169,4994,"DOL, Mg",DOL,PROSPECT,Not worked,Low Significance,DLOM,136.7981398,-28.1288574
170,7028,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.948156,-28.1314383
171,8235,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7144744,-28.1323675
172,4996,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8191308,-28.1335284
173,7010,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.9591109,-28.1348973
174,8223,SAND,SAND,OCCURRENCE,Care/ Maintenance,Low Significance,SAND,140.1812574,-28.1383435
175,8237,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7479474,-28.1450715
176,11170,OPAL,OPAL,PROSPECT,Abandoned,Low Significance,OPPO,134.2049552,-28.1492763
177,8236,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7762424,-28.1532445
178,4995,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8119448,-28.1543084
179,8238,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8100524,-28.1556425
180,5354,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.984613,-28.8600333
181,103,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5569681,-28.8607483
182,7025,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.874263,-28.0136143
183,5351,COAL,COAL,OCCURRENCE,Not worked,Low Significance,COAL,134.3452382,-28.0158283
184,11129,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6590506,-28.0199964
185,9783,GAS,GAS,PROSPECT,Not worked,Locally Significant,SHLE,140.2277754,-28.0207755
186,193,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1446282,-28.0256033
187,11287,U,U,OCCURRENCE,Not worked,Low Significance,CLYS,140.9725094,-28.0267665
188,11144,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7267074,-28.0317045
189,8871,U,U,OCCURRENCE,Not worked,Low Significance,GNSS,135.849008,-28.0369863
190,8844,"Au, DIA",Au,OCCURRENCE,Not worked,Low Significance,GRVL,135.859249,-28.0370783
191,7017,"Cu, U",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.879349,-28.0387663
192,8854,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.804824,-28.0588113
193,7005,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,CLYS,135.0743081,-28.0789333
194,7024,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.898825,-28.0807043
195,7013,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.854227,-28.0910983
196,8240,"CLAY, GRVL, SAND",CLAY,DEPOSIT,Seasonal,Locally Significant,GRVL,140.6175744,-28.0917805
197,5356,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1567192,-28.0925203
198,4998,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8604908,-28.0972464
199,7014,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.91284,-28.0986413
200,192,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1555642,-28.1035713
201,7012,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,135.912569,-28.1059433
202,7026,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.948853,-28.1103353
203,11171,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1585602,-28.1175443
204,4997,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8469758,-28.1249094
205,7035,"Cu, U",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.923051,-28.1287443
206,191,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9192892,-27.5094493
207,5960,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,CLYS,135.455407,-27.5275263
208,11286,U,U,OCCURRENCE,Not worked,Low Significance,SAND,140.1283245,-27.5499915
209,8214,SAND,SAND,OCCURRENCE,Care/ Maintenance,Low Significance,SAND,135.461086,-27.5537783
210,8202,"SAND, GRVL",SAND,DEPOSIT,Seasonal,Low Significance,GRNT,140.6983334,-27.5904405
211,11285,REE,REE,OCCURRENCE,Not worked,Low Significance,SAND,138.2877697,-27.6081904
212,10315,SiO2,SiO2,PROSPECT,Not worked,Low Significance,DURS,135.58932,-27.6298483
213,8224,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1113055,-27.6401685
214,8227,"FEST, SHA",FEST,OCCURRENCE,Abandoned,Low Significance,SAND,140.1413925,-27.6425245
215,11128,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7285776,-27.6426454
216,8229,"GRVL, SAND",GRVL,DEPOSIT,Seasonal,Low Significance,GRVL,140.1250375,-27.6595745
217,200,LMST,LMST,DEPOSIT,Not worked,Low Significance,LMST,134.0272492,-27.6660533
218,194,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.2162742,-28.1666593
219,7015,DIA,DIA,OCCURRENCE,Not worked,Low Significance,GRVL,135.878805,-28.1841873
220,8239,SAND,SAND,OCCURRENCE,Abandoned,Low Significance,SAND,140.6653244,-28.1868695
221,8917,U,U,OCCURRENCE,Not worked,Low Significance,SAND,140.3398874,-28.2008665
222,7018,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9466919,-28.2059053
223,8918,U,U,OCCURRENCE,Not worked,Low Significance,SAND,140.3087474,-28.2118865
224,11130,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.6800046,-28.2174694
225,8233,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8418354,-28.2214905
226,8232,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8365204,-28.2316845
227,8246,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8080644,-28.2419385
228,5357,COAL,COAL,OCCURRENCE,Not worked,Low Significance,COAL,134.0852462,-28.2445183
229,11131,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.6645336,-28.2745554
230,11132,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6586536,-28.2845424
231,8228,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1371105,-27.6713855
232,8230,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1207695,-27.6861775
233,135,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6582621,-28.8626673
234,9785,GAS,GAS,PROSPECT,Not worked,Locally Significant,SHLE,140.0602214,-28.8631155
235,102,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5101751,-28.8663453
236,5352,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.8496731,-28.8746543
237,136,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6474951,-28.8897903
238,104,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5826761,-28.8931433
239,11147,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.1171314,-28.8998435
240,7019,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.057028,-28.9003733
241,7023,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.163713,-28.9019913
242,137,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6551451,-28.9024463
243,7020,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.077006,-28.9077683
244,9343,"Cu, Pb, Zn",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,132.2758134,-28.3680232
245,8800,GRVL,GRVL,OCCURRENCE,Rehabilitated,Low Significance,GRVL,140.1416904,-28.3745935
246,8234,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8126733,-28.4039765
247,7032,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.0687569,-28.4049223
248,8243,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8525833,-28.4088095
249,8245,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7949993,-28.4107215
250,8241,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8958563,-28.4243755
251,11133,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6812796,-28.4273364
252,8242,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8992223,-28.4276275
253,7011,DIA,DIA,PROSPECT,Not worked,Low Significance,GRVL,135.856832,-28.4300233
254,8247,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8304913,-28.4340585
255,8244,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7784093,-28.4348865
256,11277,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.1782079,-28.4419563
257,11145,"CLAY, SAND",CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.1964574,-28.4454365
258,7008,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.9810679,-28.4509373
259,7034,COAL,COAL,DEPOSIT,Not worked,Locally Significant,COAL,135.517796,-28.4867063
260,11134,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6874806,-28.4893634
261,9572,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.3580279,-28.5099963
262,7031,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9934379,-28.5159243
263,7033,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,GOSS,135.9950699,-28.5189183
264,7006,"Cu, ASBT",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,136.0744919,-28.5252753
265,9574,"U, Cu, REE",U,OCCURRENCE,Not worked,Low Significance,VEIN,135.9816079,-28.5308863
